artist,title,artist_list,total_weeks,peak_rank,debut_rank,peak_week,rise_rate
Jimmie Allen,Best Shot,['Jimmie Allen'],20,37.0,97.0,15,4.0
Jimmie Allen,Make Me Want To,['Jimmie Allen'],10,49.0,84.0,8,4.375
Jimmie Allen & Brad Paisley,Freedom Was A Highway,"['Jimmie Allen', 'Brad Paisley']",20,45.0,88.0,12,3.5833333333333335
John Morgan Featuring Jason Aldean,Friends Like That,"['John Morgan', 'Jason Aldean']",6,57.0,92.0,3,11.666666666666666
Joji,Glimpse Of Us,['Joji'],20,8.0,10.0,1,2.0
Jon Bellion,All Time Low,['Jon Bellion'],22,16.0,82.0,11,6.0
Jon Pardi,Dirt On My Boots,['Jon Pardi'],20,37.0,95.0,14,4.142857142857143
Jon Pardi,Head Over Boots,['Jon Pardi'],24,51.0,97.0,21,2.1904761904761907
Jon Pardi,Heartache Medication,['Jon Pardi'],20,42.0,84.0,17,2.4705882352941178
Jon Pardi,Heartache On The Dance Floor,['Jon Pardi'],18,47.0,89.0,11,3.8181818181818183
Jon Pardi,Last Night Lonely,['Jon Pardi'],20,27.0,98.0,13,5.461538461538462
Jon Pardi,Tequila Little Time,['Jon Pardi'],14,60.0,86.0,12,2.1666666666666665
Jon Pardi,Your Heart Or Mine,['Jon Pardi'],17,47.0,95.0,14,3.4285714285714284
Jonas Brothers,Waffle House,['Jonas Brothers'],11,57.0,88.0,2,15.5
"Jonathan Bailey Featuring Ariana Grande, Ethan Slater, Marissa Bode & Cynthia Erivo",Dancing Through Life,"['Jonathan Bailey', 'Ariana Grande', 'Ethan Slater', 'Marissa Bode', 'Cynthia Erivo']",2,86.0,90.0,1,4.0
Jordan Adetunji,Kehlani,['Jordan Adetunji'],21,24.0,70.0,10,4.6
Jordan Davis,Next Thing You Know,['Jordan Davis'],31,23.0,91.0,22,3.090909090909091
Jordan Davis,Singles You Up,['Jordan Davis'],19,50.0,94.0,7,6.285714285714286
Jordan Davis,Take It From Me,['Jordan Davis'],13,46.0,75.0,8,3.625
Jordan Davis,Tucson Too Late,['Jordan Davis'],14,71.0,86.0,9,1.6666666666666667
Jordan Davis,What My World Spins Around,['Jordan Davis'],28,40.0,100.0,21,2.857142857142857
Jordan Davis Featuring Luke Bryan,Buy Dirt,"['Jordan Davis', 'Luke Bryan']",37,22.0,82.0,24,2.5
Josh Ross,Single Again,['Josh Ross'],5,73.0,97.0,3,8.0
Josh Turner,Hometown Girl,['Josh Turner'],16,56.0,96.0,6,6.666666666666667
Juice WRLD,All Girls Are The Same,['Juice WRLD'],20,41.0,92.0,4,12.75
Juice WRLD,Hear Me Calling,['Juice WRLD'],4,38.0,56.0,1,18.0
Juice WRLD,Lean Wit Me,['Juice WRLD'],8,68.0,87.0,2,9.5
Juice WRLD & YoungBoy Never Broke Again,Bandit,"['Juice WRLD', 'YoungBoy Never Broke Again']",20,10.0,11.0,1,1.0
Juice WRLD X Halsey,Life's A Mess,"['Juice WRLD', 'Halsey']",6,9.0,74.0,1,65.0
Julia Michaels,Issues,['Julia Michaels'],29,11.0,87.0,17,4.470588235294118
Junior H x Peso Pluma,El Azul,"['Junior H', 'Peso Pluma']",16,55.0,87.0,5,6.4
Justin Bieber,Company,['Justin Bieber'],8,53.0,89.0,5,7.2
Justin Bieber,Hold On,['Justin Bieber'],13,20.0,26.0,2,3.0
Justin Bieber,I'll Show You,['Justin Bieber'],6,58.0,59.0,2,0.5
Justin Bieber,Love Yourself,['Justin Bieber'],37,1.0,4.0,6,0.5
Justin Bieber,Purpose,['Justin Bieber'],3,86.0,100.0,2,7.0
Justin Bieber,Rockin' Around The Christmas Tree,['Justin Bieber'],4,61.0,83.0,3,7.333333333333333
Justin Bieber,Sorry,['Justin Bieber'],35,1.0,2.0,3,0.3333333333333333
Justin Bieber & Benny Blanco,Lonely,"['Justin Bieber', 'Benny Blanco']",20,12.0,14.0,12,0.16666666666666666
Justin Bieber Featuring Quavo,Intentions,"['Justin Bieber', 'Quavo']",31,5.0,11.0,17,0.35294117647058826
Justin Moore,The Ones That Didn't Make It Back Home,['Justin Moore'],16,46.0,100.0,7,7.714285714285714
Justin Moore,This Is My Dirt,['Justin Moore'],2,96.0,98.0,1,2.0
Justin Moore,We Didn't Have Much,['Justin Moore'],13,41.0,85.0,9,4.888888888888889
Justin Moore,Why We Drink,['Justin Moore'],15,50.0,87.0,11,3.3636363636363638
Justin Moore,With A Woman You Love,['Justin Moore'],12,59.0,90.0,6,5.166666666666667
Justin Moore,You Look Like I Need A Drink,['Justin Moore'],8,79.0,100.0,1,21.0
Justin Moore & Priscilla Block,"You, Me, & Whiskey","['Justin Moore', 'Priscilla Block']",16,37.0,88.0,13,3.923076923076923
Kaleo,Way Down We Go,['Kaleo'],8,54.0,98.0,4,11.0
Kali Uchis,Telepatia,['Kali Uchis'],25,25.0,54.0,17,1.7058823529411764
Kali Uchis & Peso Pluma,Igual Que Un Angel,"['Kali Uchis', 'Peso Pluma']",10,22.0,23.0,1,1.0
Kaliii,Area Codes,['Kaliii'],18,33.0,54.0,1,21.0
Kane Brown,Blue Christmas,['Kane Brown'],4,73.0,98.0,3,8.333333333333334
Kane Brown,Bury Me In Georgia,['Kane Brown'],19,34.0,85.0,13,3.923076923076923
Kane Brown,Good As You,['Kane Brown'],20,36.0,95.0,13,4.538461538461538
Kane Brown,Homesick,['Kane Brown'],21,35.0,95.0,17,3.5294117647058822
Kane Brown,I Can Feel It,['Kane Brown'],13,50.0,59.0,9,1.0
Kane Brown,Like I Love Country Music,['Kane Brown'],20,26.0,74.0,7,6.857142857142857
Kane Brown & John Legend,Last Time I Say Sorry,"['Kane Brown', 'John Legend']",2,89.0,93.0,1,4.0
Kane Brown Featuring Lauren Alaina,What Ifs,"['Kane Brown', 'Lauren Alaina']",23,26.0,93.0,18,3.7222222222222223
Kane Brown With Katelyn Brown,Thank God,"['Kane Brown', 'Katelyn Brown']",42,13.0,22.0,22,0.4090909090909091
Kane Brown With Swae Lee & Khalid,Be Like That,"['Kane Brown', 'Swae Lee', 'Khalid']",21,19.0,73.0,15,3.6
Kanii,I Know,['Kanii'],2,90.0,95.0,1,5.0
Kanye West,Fade,['Kanye West'],13,47.0,98.0,1,51.0
Karol G,Provenza,['Karol G'],21,25.0,36.0,1,11.0
Karol G,Si Antes Te Hubiera Conocido,['Karol G'],20,32.0,34.0,6,0.3333333333333333
Karol G & Peso Pluma,Qlona,"['Karol G', 'Peso Pluma']",21,28.0,29.0,1,1.0
Karol G x Romeo Santos,X Si Volvemos,"['Karol G', 'Romeo Santos']",6,48.0,56.0,3,2.6666666666666665
Kate Bush,Running Up That Hill (A Deal With God),['Kate Bush'],20,3.0,8.0,7,0.7142857142857143
Katy Perry,Cozy Little Christmas,['Katy Perry'],2,53.0,68.0,1,15.0
Kehlani,CRZY,['Kehlani'],5,85.0,95.0,1,10.0
Kehlani,Folded,['Kehlani'],27,7.0,76.0,19,3.6315789473684212
Kehlani Featuring Ty Dolla $ign,Nights Like This,"['Kehlani', 'Ty Dolla $ign']",9,67.0,69.0,6,0.3333333333333333
Keith Urban,Blue Ain't Your Color,['Keith Urban'],21,24.0,73.0,9,5.444444444444445
Keith Urban,Break On Me.,['Keith Urban'],12,54.0,94.0,8,5.0
Keith Urban,God Whispered Your Name,['Keith Urban'],20,60.0,97.0,10,3.7
Keith Urban Featuring Julia Michaels,Coming Home,"['Keith Urban', 'Julia Michaels']",7,50.0,88.0,4,9.5
Kelly Clarkson,Love So Soft,['Kelly Clarkson'],13,47.0,62.0,7,2.142857142857143
Kelsea Ballerini,Dibs,['Kelsea Ballerini'],11,58.0,87.0,8,3.625
Kelsea Ballerini,Miss Me More,['Kelsea Ballerini'],20,47.0,95.0,17,2.823529411764706
Kelsea Ballerini,Peter Pan,['Kelsea Ballerini'],20,35.0,92.0,14,4.071428571428571
Kendrick Lamar & SZA,Luther,"['Kendrick Lamar', 'SZA']",46,1.0,3.0,12,0.16666666666666666
Kenny Chesney,All The Pretty Girls,['Kenny Chesney'],14,63.0,98.0,8,4.375
Kenny Chesney,Get Along,['Kenny Chesney'],21,22.0,85.0,16,3.9375
Kenny Chesney,Here And Now,['Kenny Chesney'],15,38.0,93.0,11,5.0
Kenny Chesney,Tip Of My Tongue,['Kenny Chesney'],20,73.0,83.0,16,0.625
Kent Jones,Don't Mind,['Kent Jones'],20,8.0,63.0,8,6.875
Kenya Grace,Strangers,['Kenya Grace'],21,42.0,88.0,15,3.066666666666667
Kesha,Praying,['Kesha'],21,22.0,25.0,5,0.6
Kevin Gates,2 Phones,['Kevin Gates'],25,17.0,93.0,13,5.846153846153846
Khalid,Better,['Khalid'],48,8.0,45.0,29,1.2758620689655173
Khalid,Location,['Khalid'],43,16.0,77.0,15,4.066666666666666
Khalid,Young Dumb & Broke,['Khalid'],35,18.0,91.0,22,3.3181818181818183
Khalid & Normani,Love Lies,"['Khalid', 'Normani']",51,9.0,43.0,27,1.2592592592592593
Kid Ink Featuring Fetty Wap,Promise,"['Kid Ink', 'Fetty Wap']",14,57.0,92.0,8,4.375
Kiiara,Gold,['Kiiara'],27,13.0,96.0,19,4.368421052631579
Kip Moore,More Girls Like You,['Kip Moore'],12,66.0,88.0,9,2.4444444444444446
Kodak Black,Calling My Spirit,['Kodak Black'],17,46.0,64.0,2,9.0
Kodak Black,Super Gremlin,['Kodak Black'],42,3.0,97.0,17,5.529411764705882
Kodak Black,Transportin',['Kodak Black'],16,46.0,82.0,2,18.0
Kodak Black,Tunnel Vision,['Kodak Black'],20,6.0,27.0,2,10.5
Kodak Black Featuring XXXTENTACION,Roll In Peace,"['Kodak Black', 'XXXTENTACION']",25,31.0,53.0,21,1.0476190476190477
Koe Wetzel,Sweet Dreams,['Koe Wetzel'],13,35.0,47.0,3,4.0
Koe Wetzel & Jessie Murph,High Road,"['Koe Wetzel', 'Jessie Murph']",40,22.0,29.0,6,1.1666666666666667
Kungs vs Cookin' On 3 Burners,This Girl,"[""Kungs vs Cookin' On 3 Burners""]",14,26.0,91.0,8,8.125
Kygo Featuring Miguel,Remind Me To Forget,"['Kygo', 'Miguel']",11,63.0,94.0,6,5.166666666666667
Kygo x Selena Gomez,It Ain't Me,"['Kygo', 'Selena Gomez']",29,10.0,93.0,10,8.3
Kyle Featuring Lil Yachty,iSpy,"['Kyle', 'Lil Yachty']",30,4.0,80.0,14,5.428571428571429
LANco,Greatest Love Story,['LANco'],20,45.0,86.0,10,4.1
Labrinth,Never Felt So Alone,['Labrinth'],5,62.0,94.0,1,32.0
Labrinth & Zendaya,I'm Tired,"['Labrinth', 'Zendaya']",4,53.0,76.0,1,23.0
Lady A,Like A Lady,['Lady A'],3,85.0,90.0,2,2.5
Lady Gaga,Abracadabra,['Lady Gaga'],20,13.0,29.0,1,16.0
Lady Gaga,Bloody Mary,['Lady Gaga'],18,41.0,68.0,11,2.4545454545454546
Lady Gaga,Hold My Hand,['Lady Gaga'],10,49.0,82.0,4,8.25
Lady Gaga & Bradley Cooper,Shallow,"['Lady Gaga', 'Bradley Cooper']",45,1.0,28.0,21,1.2857142857142858
Lady Gaga & Bruno Mars,Die With A Smile,"['Lady Gaga', 'Bruno Mars']",60,1.0,3.0,19,0.10526315789473684
Lainey Wilson,Heart Like A Truck,['Lainey Wilson'],23,29.0,86.0,14,4.071428571428571
Lainey Wilson,Things A Man Oughta Know,['Lainey Wilson'],20,32.0,94.0,14,4.428571428571429
Lainey Wilson,Watermelon Moonshine,['Lainey Wilson'],20,21.0,89.0,14,4.857142857142857
Latto,Big Energy,['Latto'],51,3.0,88.0,22,3.8636363636363638
