artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
The Chainsmokers Featuring Halsey,Closer,"['The Chainsmokers', 'Halsey']",52,1.0,9.0,39.0,2,-0.7755102040816326,49
The Chainsmokers Featuring Phoebe Ryan,All We Know,"['The Chainsmokers', 'Phoebe Ryan']",16,18.0,18.0,93.0,0,-5.0,15
The Chainsmokers Featuring ROZES,Roses,"['The Chainsmokers', 'ROZES']",23,6.0,26.0,48.0,6,-2.625,16
The Chainsmokers Featuring XYLO,Setting Fires,"['The Chainsmokers', 'XYLO']",2,71.0,71.0,86.0,0,-15.0,1
The Game & Kanye West,Eazy,"['The Game', 'Kanye West']",3,49.0,49.0,98.0,0,-24.5,2
The Kid Laroi,Love Again,['The Kid Laroi'],12,40.0,40.0,97.0,0,-5.181818181818182,11
The Kid Laroi,Nights Like This,['The Kid Laroi'],20,47.0,76.0,78.0,1,-1.7222222222222223,18
The Kid Laroi,Thousand Miles,['The Kid Laroi'],15,15.0,15.0,90.0,0,-5.357142857142857,14
The Kid Laroi,Without You,['The Kid Laroi'],38,8.0,63.0,37.0,21,-1.8125,16
The Kid Laroi & Justin Bieber,Stay,"['The Kid Laroi', 'Justin Bieber']",63,1.0,3.0,23.0,3,-0.3728813559322034,59
The Kid Laroi Featuring Polo G & Stunna Gambino,Not Sober,"['The Kid Laroi', 'Polo G', 'Stunna Gambino']",3,41.0,41.0,92.0,0,-25.5,2
"The Kid Laroi, Jung Kook & Central Cee",Too Much,"['The Kid Laroi', 'Jung Kook', 'Central Cee']",6,44.0,44.0,92.0,0,-9.6,5
The Marias,No One Noticed,['The Marias'],41,22.0,90.0,50.0,7,-0.8484848484848485,33
The Revivalists,Wish I Knew You,['The Revivalists'],9,84.0,93.0,99.0,5,-5.0,3
The Weeknd,Acquainted,['The Weeknd'],15,70.0,100.0,92.0,10,-5.5,4
The Weeknd,Attention,['The Weeknd'],2,67.0,67.0,96.0,0,-29.0,1
The Weeknd,Baptized In Fear,['The Weeknd'],2,46.0,46.0,86.0,0,-40.0,1
The Weeknd,Call Out My Name,['The Weeknd'],18,4.0,4.0,95.0,0,-5.352941176470588,17
The Weeknd,Can't Feel My Face,['The Weeknd'],14,15.0,15.0,50.0,0,-2.6923076923076925,13
The Weeknd,Cry For Me,['The Weeknd'],21,12.0,12.0,49.0,0,-1.85,20
The Weeknd,Dancing In The Flames,['The Weeknd'],18,14.0,14.0,96.0,0,-4.823529411764706,17
The Weeknd,Gasoline,['The Weeknd'],2,29.0,29.0,87.0,0,-58.0,1
The Weeknd,Heartless,['The Weeknd'],23,1.0,32.0,37.0,1,-1.7142857142857142,21
The Weeknd,In The Night,['The Weeknd'],15,12.0,12.0,52.0,0,-2.857142857142857,14
The Weeknd,In Your Eyes,['The Weeknd'],15,16.0,16.0,89.0,0,-5.214285714285714,14
The Weeknd,Is There Someone Else?,['The Weeknd'],2,31.0,31.0,80.0,0,-49.0,1
The Weeknd,Less Than Zero,['The Weeknd'],2,53.0,53.0,91.0,0,-38.0,1
The Weeknd,Open Hearts,['The Weeknd'],2,48.0,48.0,94.0,0,-46.0,1
The Weeknd,Ordinary Life,['The Weeknd'],2,72.0,72.0,97.0,0,-25.0,1
The Weeknd,Party Monster,['The Weeknd'],19,16.0,39.0,98.0,1,-4.823529411764706,17
The Weeknd,Rockin',['The Weeknd'],2,44.0,44.0,82.0,0,-38.0,1
The Weeknd,Sacrifice,['The Weeknd'],10,11.0,11.0,79.0,0,-7.555555555555555,9
The Weeknd,Secrets,['The Weeknd'],2,47.0,47.0,66.0,0,-19.0,1
The Weeknd,Six Feet Under,['The Weeknd'],4,34.0,34.0,94.0,0,-20.0,3
The Weeknd,The Hills,['The Weeknd'],19,7.0,7.0,48.0,0,-2.2777777777777777,18
The Weeknd,True Colors,['The Weeknd'],2,48.0,48.0,78.0,0,-30.0,1
The Weeknd,Try Me,['The Weeknd'],2,26.0,26.0,74.0,0,-48.0,1
